# Annotated with Bakta
# Software: v1.8.2
# Database: v5.1, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_1	cds	1500336	1500647	-	LNNEOK_07530	ftsB	cell division protein FtsB	COG:COG2919, COG:D, GO:0005886, GO:0030428, GO:0032153, GO:0043093, RefSeq:WP_000517479.1, SO:0001217, UniParc:UPI00000DEF49, UniRef:UniRef100_B7UHG7, UniRef:UniRef50_A8ANW2, UniRef:UniRef90_A8ANW2
contig_1	cds	1500840	1501163	-	LNNEOK_07535	ygbE	DUF3561 domain-containing protein	GO:0005886, RefSeq:WP_001246113.1, SO:0001217, UniParc:UPI00000DEF4A, UniRef:UniRef100_E2QQK1, UniRef:UniRef50_P46141, UniRef:UniRef90_P46141
contig_1	cds	1501213	1501818	-	LNNEOK_07540	cysC	Adenylyl-sulfate kinase	EC:2.7.1.25, GO:0000103, GO:0004020, GO:0005524, GO:0016310, GO:0070814, RefSeq:WP_001173653.1, SO:0001217, UniParc:UPI0000167DD1, UniRef:UniRef100_B7UHG9, UniRef:UniRef50_Q8ZBP3, UniRef:UniRef90_B7UHG9
contig_1	cds	1501818	1503245	-	LNNEOK_07545	cysN	sulfate adenylyltransferase subunit CysN	COG:COG2895, COG:P, EC:2.7.7.4, GO:0000103, GO:0003924, GO:0004781, GO:0005524, GO:0005525, GO:0006790, GO:0070814, RefSeq:WP_001090361.1, SO:0001217, UniParc:UPI000003EB6A, UniRef:UniRef100_B7NT95, UniRef:UniRef50_Q7N8L0, UniRef:UniRef90_Q83JX8
contig_1	cds	1503247	1504155	-	LNNEOK_07550	cysD	sulfate adenylyltransferase subunit CysD	COG:COG0175, COG:EH, EC:2.7.7.4, GO:0000103, GO:0004781, GO:0005524, GO:0019419, GO:0070814, RefSeq:WP_000372392.1, SO:0001217, UniParc:UPI00005F0353, UniRef:UniRef100_A7ZQJ6, UniRef:UniRef50_Q1MJV3, UniRef:UniRef90_Q6D1A5
contig_1	cds	1504407	1505444	+	LNNEOK_07555	iap	alkaline phosphatase isozyme conversion aminopeptidase	BlastRules:WP_000490428, COG:COG2234, COG:OE, EC:3.4.11.-, GO:0004177, GO:0006508, GO:0008235, GO:0030288, GO:0043687, GO:0046872, RefSeq:WP_000490426.1, SO:0001217, UniParc:UPI00005AA9C7, UniRef:UniRef100_J7R4T7, UniRef:UniRef50_P10423, UniRef:UniRef90_P10423
contig_1	cds	1505569	1505721	-	LNNEOK_07560	hokG	Putative protein HokG	GO:0005886, KEGG:K18922, RefSeq:WP_000956458.1, SO:0001217, UniParc:UPI00000D09F2, UniRef:UniRef100_Q8X7U9, UniRef:UniRef50_Q8X7U9, UniRef:UniRef90_Q8X7U9
contig_1	ncRNA	1505706	1505863	-	LNNEOK_07565	sok	sok antitoxin (CssrC)	RFAM:RF01794, SO:0000655
contig_1	cds	1505986	1506720	-	LNNEOK_07570	cysH	phosphoadenosine phosphosulfate reductase	COG:COG0175, COG:EH, EC:1.8.4.8, GO:0004604, GO:0005737, GO:0019379, GO:0070814, RefSeq:WP_000039865.1, SO:0001217, UniParc:UPI0000D50BCA, UniRef:UniRef100_B7MKM9, UniRef:UniRef50_P17853, UniRef:UniRef90_P17853
contig_1	cds	1506794	1508506	-	LNNEOK_07575	cysI	assimilatory sulfite reductase (NADPH) hemoprotein subunit	COG:COG0155, COG:P, EC:1.8.1.2, GO:0000103, GO:0004783, GO:0009337, GO:0019344, GO:0020037, GO:0046872, GO:0050661, GO:0051539, GO:0070814, RefSeq:WP_001290706.1, SO:0001217, UniParc:UPI00000D09F7, UniRef:UniRef100_A7ZQK6, UniRef:UniRef50_P17845, UniRef:UniRef90_P17845
contig_1	cds	1508506	1510305	-	LNNEOK_07580	cysJ	NADPH-dependent assimilatory sulfite reductase flavoprotein subunit	COG:COG0369, COG:FP, EC:1.8.1.2, GO:0000103, GO:0004783, GO:0010181, GO:0019344, GO:0050660, GO:0070814, RefSeq:WP_000211918.1, SO:0001217, UniParc:UPI0001E8B261, UniRef:UniRef100_A0A2X5QSH9, UniRef:UniRef50_P38038, UniRef:UniRef90_P38038
contig_1	cds	1510621	1510986	+	LNNEOK_07585	queD	6-carboxytetrahydropterin synthase QueD	EC:4.1.2.50, GO:0003824, GO:0008616, GO:0046872, GO:0070497, SO:0001217, UniParc:UPI00005EF648, UniRef:UniRef100_A0A0D6GUJ0, UniRef:UniRef50_P65871, UniRef:UniRef90_P65871
contig_1	cds	1511064	1512335	+	LNNEOK_07590	ygcN	putative electron transfer flavoprotein-quinone oxidoreductase YgcN	COG:C, COG:COG0644, EC:1.5.5.-, GO:0005886, GO:0016491, KEGG:K00313, RefSeq:WP_001539459.1, SO:0001217, UniParc:UPI0002A19BD0, UniRef:UniRef100_A0A377K1J2, UniRef:UniRef50_Q46904, UniRef:UniRef90_Q46904
contig_1	cds	1512326	1512586	+	LNNEOK_07595	fixX	Ferredoxin-like protein FixX	COG:C, COG:COG2440, RefSeq:WP_000109509.1, SO:0001217, UniParc:UPI00019F47C3, UniRef:UniRef100_A0A0G9FPS9, UniRef:UniRef50_A0A0C2K7N1, UniRef:UniRef90_A0A0C2K7N1
contig_1	cds	1512603	1513178	+	LNNEOK_07600	ygcP	Uncharacterized protein YgcP	COG:COG1954, COG:K, GO:0001072, GO:0006071, RefSeq:WP_001130266.1, SO:0001217, UniParc:UPI000013B044, UniRef:UniRef100_Q46906, UniRef:UniRef50_Q46906, UniRef:UniRef90_Q46906
contig_1	cds	1513326	1514186	-	LNNEOK_07605	fixB	Electron transfer flavoprotein, alpha subunit FixB	COG:C, COG:COG2025, RefSeq:WP_001539460.1, SO:0001217, UniParc:UPI0002A293ED, UniRef:UniRef100_A0A377K1G3, UniRef:UniRef50_A0A0F3V4U6, UniRef:UniRef90_A0A0F3V4U6
contig_1	cds	1514183	1514962	-	LNNEOK_07610	ygcR	Putative electron transfer flavoprotein subunit YgcR	GO:0009055, RefSeq:WP_001539462.1, SO:0001217, UniParc:UPI0002A28FF4, UniRef:UniRef100_A0A377K1N8, UniRef:UniRef50_Q46908, UniRef:UniRef90_Q46908
contig_1	cds	1514940	1516349	-	LNNEOK_07615	ygcS	Inner membrane metabolite transport protein YgcS	COG:COG2814, COG:G, GO:0005886, GO:0022857, RefSeq:WP_001539463.1, SO:0001217, UniParc:UPI0002A397F1, UniRef:UniRef100_A0A377K1H0, UniRef:UniRef50_Q46909, UniRef:UniRef90_Q46909
contig_1	cds	1516371	1517825	-	LNNEOK_07620	ygcU	Uncharacterized FAD-linked oxidoreductase YgcU	COG:C, COG:COG0277, EC:1.-.-.-, GO:0004458, GO:0005777, GO:0008609, GO:0008610, GO:0008720, GO:0050660, GO:0071949, GO:1903457, RefSeq:WP_000059426.1, SO:0001217, UniParc:UPI00005EF642, UniRef:UniRef100_A0A192ET55, UniRef:UniRef50_Q46911, UniRef:UniRef90_Q46911
contig_1	cds	1517895	1518680	-	LNNEOK_07625	ygcW	Uncharacterized oxidoreductase YgcW	COG:COG1028, COG:I, EC:1.-.-.-, GO:0006974, GO:0016616, RefSeq:WP_000021342.1, SO:0001217, UniParc:UPI0000DACF80, UniRef:UniRef100_E2QQL7, UniRef:UniRef50_P76633, UniRef:UniRef90_P76633
contig_1	cds	1518998	1520110	+	LNNEOK_07630	yqcE	Inner membrane protein YqcE	COG:COG2223, COG:P, GO:0005886, GO:0022857, SO:0001217, UniParc:UPI0002A44844, UniRef:UniRef100_A0A7B5FYS1, UniRef:UniRef50_P77031, UniRef:UniRef90_P77031
contig_1	cds	1520302	1521780	+	LNNEOK_07635	xylB	Sugar (pentulose or hexulose) kinase	COG:COG1070, COG:G, RefSeq:WP_000039739.1, SO:0001217, UniParc:UPI0001887763, UniRef:UniRef100_A0A8E0MIW0, UniRef:UniRef50_P55138, UniRef:UniRef90_A0A376PR25
contig_1	cds	1521945	1522865	+	LNNEOK_07640		aminoimidazole riboside kinase	GO:0016301, RefSeq:WP_000107663.1, SO:0001217, UniParc:UPI00005EF63E, UniRef:UniRef100_A0A0G9FNR8, UniRef:UniRef50_P26420, UniRef:UniRef90_A0A0G9FNR8
contig_1	cds	1523033	1524550	+	LNNEOK_07645		Carbohydrate porin	RefSeq:WP_000277208.1, SO:0001217, UniParc:UPI00005EF63D, UniRef:UniRef100_A0A0C2EGG4, UniRef:UniRef50_P22340, UniRef:UniRef90_A0A0C2EGG4
contig_1	cds	1524611	1525981	+	LNNEOK_07650	scrA	PTS system sucrose-specific EIIBC component	COG:COG1264, COG:G, GO:0005886, GO:0008982, GO:0009401, GO:0016301, GO:0016310, RefSeq:WP_000344912.1, SO:0001217, UniParc:UPI00003BF86D, UniRef:UniRef100_Q6EVL4, UniRef:UniRef50_P05306, UniRef:UniRef90_P27219
contig_1	cds	1525987	1527390	+	LNNEOK_07655		Sucrose-6-phosphate hydrolase	SO:0001217, UniRef:UniRef50_P27217, UniRef:UniRef90_Q6EVL5
contig_1	cds	1527416	1528423	+	LNNEOK_07660	lacI	LacI family DNA-binding transcriptional regulator	RefSeq:WP_001232702.1, SO:0001217, UniParc:UPI00004C4C23, UniRef:UniRef100_Q5GQ86, UniRef:UniRef50_P37077, UniRef:UniRef90_Q5GQ86
contig_1	cds	1528508	1529179	-	LNNEOK_07665	queE	7-carboxy-7-deazaguanine synthase QueE	COG:COG0602, COG:H, EC:4.3.99.3, GO:0000287, GO:0005829, GO:0006400, GO:0008616, GO:0016840, GO:0032153, GO:0032466, GO:0051539, GO:1904047, RefSeq:WP_001199974.1, SO:0001217, UniParc:UPI00000DEF58, UniRef:UniRef100_Q6EVL6, UniRef:UniRef50_P64555, UniRef:UniRef90_P64555
contig_1	cds	1529352	1529954	+	LNNEOK_07670	lemA	LemA family protein	KEGG:K03744, RefSeq:WP_001774029.1, SO:0001217, UniParc:UPI0002A2C00B, UniRef:UniRef100_UPI0021E18B79, UniRef:UniRef50_B7LWQ1, UniRef:UniRef90_B7LWQ1
contig_1	cds	1529968	1530876	+	LNNEOK_07675		TPM domain-containing protein	RefSeq:WP_001539470.1, SO:0001217, UniParc:UPI0002A2A9FF, UniRef:UniRef100_A0A7B5K0Q0, UniRef:UniRef50_A0A0H2VBL6, UniRef:UniRef90_A0A0H2VBL6
contig_1	cds	1530891	1532039	+	LNNEOK_07680	ygcG	Uncharacterized membrane protein YgcG, contains a TPM-fold domain	COG:COG1512, COG:S, RefSeq:WP_001217999.1, SO:0001217, UniParc:UPI0000DACF84, UniRef:UniRef100_A0A0V9RI59, UniRef:UniRef50_A0A0H2VA96, UniRef:UniRef90_A0A0H2VA96
contig_1	cds	1532036	1532917	+	LNNEOK_07685		TPM domain-containing protein	SO:0001217, UniParc:UPI0001DBCD9C, UniRef:UniRef100_A0A0V9RIE9, UniRef:UniRef50_P55140, UniRef:UniRef90_V0VMN6
contig_1	cds	1532977	1534275	-	LNNEOK_07690	eno	phosphopyruvate hydratase	COG:COG0148, COG:G, EC:4.2.1.11, GO:0000015, GO:0000287, GO:0004634, GO:0005576, GO:0006096, GO:0009986, RefSeq:WP_000036723.1, SO:0001217, UniParc:UPI00001639F9, UniRef:UniRef100_A7ZQM2, UniRef:UniRef50_Q5XD01, UniRef:UniRef90_B4EUF7
contig_1	cds	1534363	1536000	-	LNNEOK_07695	pyrG	CTP synthase (glutamine hydrolyzing)	COG:COG0504, COG:F, EC:6.3.4.2, GO:0003883, GO:0004359, GO:0005524, GO:0006541, GO:0009220, GO:0044210, GO:0046872, KEGG:K01937, RefSeq:WP_001774030.1, SO:0001217, UniParc:UPI0002A3089D, UniRef:UniRef100_UPI0002A3089D, UniRef:UniRef50_P44341, UniRef:UniRef90_A8ANY8
contig_1	cds	1536228	1537019	-	LNNEOK_07700	mazG	nucleoside triphosphate pyrophosphohydrolase	COG:COG3956, COG:R, EC:3.6.1.8, EC:3.6.1.9, GO:0005524, GO:0006203, GO:0009267, GO:0046047, GO:0046052, GO:0046061, GO:0046076, GO:0046081, GO:0046872, GO:0047429, GO:0047693, RefSeq:WP_001071648.1, SO:0001217, UniParc:UPI000012ECF5, UniRef:UniRef100_P0AEY4, UniRef:UniRef50_P0AEY4, UniRef:UniRef90_P0AEY4
contig_1	cds	1537091	1537426	-	LNNEOK_07705	mazF	endoribonuclease MazF	COG:COG2337, COG:V, EC:3.1.27.-, GO:0003677, GO:0003723, GO:0004521, GO:0006355, GO:0006402, GO:0006417, GO:0009372, GO:0016075, GO:0030308, GO:0032991, GO:0040008, GO:0042803, GO:0043068, GO:0044010, GO:0044877, GO:0051607, GO:0110001, GO:0140677, RefSeq:WP_000254749.1, SO:0001217, UniParc:UPI00005EF637, UniRef:UniRef100_A0A192ESI9, UniRef:UniRef50_P0AE71, UniRef:UniRef90_P0AE71
contig_1	cds	1537426	1537674	-	LNNEOK_07710	mazE	type II toxin-antitoxin system antitoxin MazE	COG:COG2336, COG:V, GO:0003677, GO:0003690, GO:0006355, GO:0032991, GO:0040008, GO:0042803, GO:0044010, GO:0044877, GO:0097351, GO:0110001, RefSeq:WP_000581937.1, SO:0001217, UniParc:UPI00001278B4, UniRef:UniRef100_P0AE73, UniRef:UniRef50_P0AE73, UniRef:UniRef90_P0AE73
contig_1	cds	1537752	1539986	-	LNNEOK_07715	relA	GTP diphosphokinase	COG:COG0317, COG:TK, EC:2.7.6.5, GO:0005524, GO:0005525, GO:0008728, GO:0008893, GO:0015949, GO:0015969, GO:0015970, GO:0016301, GO:0016310, GO:0042594, RefSeq:WP_000226797.1, SO:0001217, UniParc:UPI00005EF636, UniRef:UniRef100_A0A178RAC2, UniRef:UniRef50_P0AG22, UniRef:UniRef90_P0AG22
contig_1	cds	1540034	1541335	-	LNNEOK_07720	rlmD	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	COG:COG2265, COG:J, EC:2.1.1.190, GO:0003723, GO:0005506, GO:0006396, GO:0008173, GO:0051539, GO:0070041, RefSeq:WP_000046817.1, SO:0001217, UniParc:UPI00000DEF5F, UniRef:UniRef100_Q0TE74, UniRef:UniRef50_P55135, UniRef:UniRef90_P55135
contig_1	cds	1541392	1544148	+	LNNEOK_07725	barA	two-component sensor histidine kinase BarA	COG:COG4999, COG:T, EC:2.7.13.3, GO:0000155, GO:0000160, GO:0005524, GO:0005886, GO:0016020, GO:0016310, RefSeq:WP_000186448.1, SO:0001217, UniParc:UPI00005EF635, UniRef:UniRef100_J7R4W9, UniRef:UniRef50_P0AEC7, UniRef:UniRef90_P0AEC7
contig_1	cds	1544379	1545719	-	LNNEOK_07730	gudD	glucarate dehydratase	COG:COG4948, COG:MR, EC:4.2.1.40, GO:0000287, GO:0008872, GO:0019394, GO:0042838, RefSeq:WP_000098258.1, SO:0001217, UniParc:UPI0000DACF86, UniRef:UniRef100_A0A0V9RI68, UniRef:UniRef50_Q6FFQ2, UniRef:UniRef90_P0AES3
contig_1	cds	1545740	1547080	-	LNNEOK_07735	gudX	Glucarate dehydratase-related protein	COG:COG4948, COG:MR, EC:4.2.1.-, GO:0009063, GO:0016829, GO:0044248, GO:0046872, RefSeq:WP_000211785.1, SO:0001217, UniParc:UPI0000DACF87, UniRef:UniRef100_A0A192ETX8, UniRef:UniRef50_Q46915, UniRef:UniRef90_Q46915
contig_1	cds	1547082	1548434	-	LNNEOK_07740	gudP	galactarate/glucarate/glycerate transporter GudP	BlastRules:WP_000097072, COG:COG2271, COG:G, GO:0005886, GO:0019580, GO:0022857, GO:0042836, GO:0098656, RefSeq:WP_000097082.1, SO:0001217, UniParc:UPI00000DEF62, UniRef:UniRef100_A0A1M0V068, UniRef:UniRef50_Q46916, UniRef:UniRef90_Q46916
contig_1	cds	1548868	1549317	-	LNNEOK_07745	yqcA	flavodoxin	COG:C, COG:COG0716, GO:0010181, RefSeq:WP_000807752.1, SO:0001217, UniParc:UPI00000DEF65, UniRef:UniRef100_A0A0D8W0A2, UniRef:UniRef50_P65368, UniRef:UniRef90_P65368
contig_1	cds	1549335	1550117	-	LNNEOK_07750	truC	tRNA pseudouridine(65) synthase TruC	COG:COG0564, COG:J, EC:5.4.99.26, GO:0001522, GO:0003723, GO:0008033, GO:0009982, GO:0106029, RefSeq:WP_001539476.1, SO:0001217, UniParc:UPI0002A1F56C, UniRef:UniRef100_A0A8B5HS08, UniRef:UniRef50_P0AA41, UniRef:UniRef90_Q8X6T6
contig_1	cds	1550117	1550446	-	LNNEOK_07755	yqcC	Uncharacterized protein YqcC	COG:COG3098, COG:S, GO:0044010, RefSeq:WP_000206984.1, SO:0001217, UniParc:UPI00005EF631, UniRef:UniRef100_A0A192ESJ9, UniRef:UniRef50_Q46919, UniRef:UniRef90_Q46919
contig_1	ncRNA	1550489	1550848	-	LNNEOK_07760	csrB	CsrB/RsmB RNA family	RFAM:RF00018, SO:0000655
contig_1	cds	1551068	1551613	-	LNNEOK_07765	syd	SecY-interacting protein	GO:0009898, RefSeq:WP_000342431.1, SO:0001217, UniParc:UPI0000136382, UniRef:UniRef100_A7ZQN6, UniRef:UniRef50_Q6D8F3, UniRef:UniRef90_Q8X6T2
contig_1	cds	1551681	1552529	+	LNNEOK_07770	queF	NADPH-dependent 7-cyano-7-deazaguanine reductase QueF	COG:COG2904, COG:J, EC:1.7.1.13, GO:0005737, GO:0008616, GO:0033739, GO:0043867, RefSeq:WP_000100429.1, SO:0001217, UniParc:UPI00000DEF68, UniRef:UniRef100_B7MZ90, UniRef:UniRef50_Q9KTK0, UniRef:UniRef90_Q8X6S9
contig_1	cds	1552641	1554005	+	LNNEOK_07775	ppnN	nucleotide 5'-monophosphate nucleosidase	BlastRules:WP_000627995, COG:COG1611, COG:F, EC:3.2.2.-, EC:3.2.2.10, EC:3.2.2.4, GO:0008714, GO:0047405, GO:0047723, KEGG:K06966, RefSeq:WP_001774031.1, SO:0001217, UniParc:UPI0002A37532, UniRef:UniRef100_UPI00207B333B, UniRef:UniRef50_P0ADS0, UniRef:UniRef90_P0ADS0
contig_1	cds	1554562	1555851	+	LNNEOK_07780	sdaC	HAAAP family serine/threonine permease SdaC	BlastRules:WP_000450476, COG:COG0814, COG:E, GO:0005886, GO:0015194, GO:0015293, GO:0015825, RefSeq:WP_000450473.1, SO:0001217, UniParc:UPI00000DEF6B, UniRef:UniRef100_E2QQP2, UniRef:UniRef50_P0AAD7, UniRef:UniRef90_P0AAD7
contig_1	cds	1555909	1557276	+	LNNEOK_07785	sdaB	L-serine ammonia-lyase II	BlastRules:WP_000626422, COG:COG1760, COG:E, EC:4.3.1.17, GO:0003941, GO:0006094, GO:0006565, GO:0009063, GO:0046872, GO:0051539, RefSeq:WP_000626404.1, SO:0001217, UniParc:UPI000000E534, UniRef:UniRef100_E2QQP3, UniRef:UniRef50_P16095, UniRef:UniRef90_P30744
contig_1	cds	1557298	1558143	+	LNNEOK_07790	xni	flap endonuclease Xni	COG:COG0258, COG:L, EC:3.1.-.-, GO:0000287, GO:0003677, GO:0017108, GO:0030955, GO:0033567, KEGG:K01146, SO:0001217, UniRef:UniRef50_Q8Z433, UniRef:UniRef90_Q8Z433
contig_1	cds	1558247	1559395	-	LNNEOK_07795	fucO	lactaldehyde reductase	COG:C, COG:COG1454, EC:1.1.1.77, GO:0000166, GO:0004022, GO:0005829, GO:0008198, GO:0008912, GO:0016491, GO:0019301, GO:0042355, GO:0042803, GO:0042846, GO:0051143, GO:0052660, GO:0052661, KEGG:K00048, RefSeq:WP_001539479.1, SO:0001217, UniParc:UPI0002A1F57B, UniRef:UniRef100_A0A7B5FZ37, UniRef:UniRef50_P0A9S2, UniRef:UniRef90_P0A9S2
contig_1	cds	1559423	1560070	-	LNNEOK_07800	fucA	L-fuculose-phosphate aldolase	COG:COG0235, COG:EG, EC:4.1.2.17, GO:0008270, GO:0008738, GO:0019568, GO:0042355, RefSeq:WP_000440772.1, SO:0001217, UniParc:UPI00000DEF6E, UniRef:UniRef100_Q8FEF0, UniRef:UniRef50_P0AB87, UniRef:UniRef90_Q8FEF0
contig_1	cds	1560617	1561933	+	LNNEOK_07805	fucP	L-fucose:H+ symporter permease	COG:COG0738, COG:G, GO:0005886, GO:0006004, GO:0015150, GO:0015517, GO:0015518, GO:0015535, GO:0015751, GO:0015756, GO:0015757, GO:0016020, RefSeq:WP_000528587.1, SO:0001217, UniParc:UPI00016A1816, UniRef:UniRef100_E2QQP7, UniRef:UniRef50_P11551, UniRef:UniRef90_P11551
contig_1	cds	1561966	1563741	+	LNNEOK_07810	fucI	L-fucose isomerase	COG:COG2407, COG:G, EC:5.3.1.25, GO:0005737, GO:0006005, GO:0008736, GO:0030145, GO:0042355, RefSeq:WP_000724164.1, SO:0001217, UniParc:UPI00016A1817, UniRef:UniRef100_B7UHL8, UniRef:UniRef50_P44779, UniRef:UniRef90_Q8Z429
contig_1	cds	1563850	1565268	+	LNNEOK_07815	fucK	L-fuculokinase	COG:COG1070, COG:G, EC:2.7.1.51, GO:0004370, GO:0005524, GO:0005829, GO:0006071, GO:0008737, GO:0016310, GO:0019301, GO:0019571, GO:0042355, RefSeq:WP_000808354.1, SO:0001217, UniParc:UPI0001E9640A, UniRef:UniRef100_A0A0J2GDH5, UniRef:UniRef50_P11553, UniRef:UniRef90_P11553
contig_1	cds	1565270	1565692	+	LNNEOK_07820	fucU	L-fucose mutarotase	COG:COG4154, COG:G, EC:5.1.3.29, GO:0005737, GO:0016854, GO:0036373, GO:0042354, GO:0042806, RefSeq:WP_000920840.1, SO:0001217, UniParc:UPI000012AD59, UniRef:UniRef100_A7ZQP8, UniRef:UniRef50_Q8ZMC4, UniRef:UniRef90_A7ZQP8
contig_1	cds	1565750	1566481	+	LNNEOK_07825	fucR	L-fucose operon activator	COG:COG1349, COG:KG, GO:0003677, GO:0003700, GO:0006004, RefSeq:WP_001305284.1, SO:0001217, UniParc:UPI000187BEF3, UniRef:UniRef100_A0A0D8W0B9, UniRef:UniRef50_P0ACK8, UniRef:UniRef90_P0ACK8
contig_1	cds	1566525	1567625	-	LNNEOK_07830	rlmM	23S rRNA (cytidine(2498)-2'-O)-methyltransferase RlmM	COG:COG2933, COG:J, EC:2.1.1.186, GO:0005737, GO:0006364, GO:0008168, GO:0008757, GO:0032259, RefSeq:WP_001045530.1, SO:0001217, UniParc:UPI00000DEF73, UniRef:UniRef100_B7UHM2, UniRef:UniRef50_P45100, UniRef:UniRef90_Q32CB2
contig_1	cds	1567618	1568013	-	LNNEOK_07835	ygdD	UPF0382 inner membrane protein YgdD	COG:COG2363, COG:S, GO:0005886, RefSeq:WP_000203905.1, SO:0001217, UniParc:UPI000013B04F, UniRef:UniRef100_P0ADR4, UniRef:UniRef50_P0ADR4, UniRef:UniRef90_P0ADR4
contig_1	cds	1568032	1568949	-	LNNEOK_07840	gcvA	glycine cleavage system transcriptional regulator GcvA	BlastRules:WP_000044401, COG:COG0583, COG:K, GO:0003700, GO:0005737, GO:0006351, GO:0006355, GO:0009411, GO:0043565, RefSeq:WP_000044401.1, SO:0001217, UniParc:UPI000012B377, UniRef:UniRef100_P0A9F8, UniRef:UniRef50_P0A9F8, UniRef:UniRef90_P0A9F8
contig_1	ncRNA	1569078	1569283	+	LNNEOK_07845	gcvB	GcvB RNA	RFAM:RF00022, SO:0000655
contig_1	cds	1569300	1569527	-	LNNEOK_07850	ygdI	Uncharacterized lipoprotein YgdI	GO:0005886, RefSeq:WP_000750398.1, SO:0001217, UniParc:UPI000013B054, UniRef:UniRef100_P65293, UniRef:UniRef50_P65293, UniRef:UniRef90_P65293
contig_1	cds	1569719	1570924	+	LNNEOK_07855	csdA	cysteine desulfurase CsdA	COG:COG0520, COG:E, EC:2.8.1.7, EC:3.13.1.-, GO:0000096, GO:0006534, GO:0008826, GO:0009000, GO:0016226, GO:0016261, GO:0016783, GO:0016787, GO:0019448, GO:0030170, GO:0031071, GO:0072348, GO:1990221, RefSeq:WP_001490456.1, SO:0001217, UniParc:UPI00028D3696, UniRef:UniRef100_A0A3P4G472, UniRef:UniRef50_Q46925, UniRef:UniRef90_Q46925
contig_1	cds	1570924	1571367	+	LNNEOK_07860	csdE	cysteine desulfurase sulfur acceptor subunit CsdE	COG:COG2166, COG:O, GO:0061504, GO:0097163, RefSeq:WP_000184273.1, SO:0001217, UniParc:UPI0001F660C0, UniRef:UniRef100_A0A2V2LWK9, UniRef:UniRef50_P0AGF3, UniRef:UniRef90_P0AGF3
contig_1	cds	1571418	1572224	-	LNNEOK_07865	tcdA	tRNA cyclic N6-threonylcarbamoyladenosine(37) synthase TcdA	COG:COG1179, COG:J, EC:6.1.-.-, GO:0005524, GO:0008641, GO:0016020, GO:0030955, GO:0031402, GO:0042803, GO:0061503, GO:0061504, RefSeq:WP_000117711.1, SO:0001217, UniParc:UPI00000DEF77, UniRef:UniRef100_A0A0G9FNV5, UniRef:UniRef50_Q46927, UniRef:UniRef90_Q46927
contig_1	cds	1572301	1573398	-	LNNEOK_07870	mltA	murein transglycosylase A	EC:4.2.2.-, EC:4.2.2.n1, GO:0004553, GO:0008933, GO:0009253, GO:0009254, GO:0009279, GO:0019867, GO:0030288, GO:0071555, RefSeq:WP_000678650.1, SO:0001217, UniParc:UPI00016088E8, UniRef:UniRef100_E2QQQ9, UniRef:UniRef50_P0A936, UniRef:UniRef90_P0A936
contig_1	tRNA	1573607	1573683	+	LNNEOK_07875	trnfM	tRNA-fMet(cat)	SO:0000266
contig_1	tRNA	1573717	1573793	+	LNNEOK_07880	trnfM	tRNA-fMet(cat)	SO:0000266
contig_1	tRNA	1573827	1573903	+	LNNEOK_07885	trnfM	tRNA-fMet(cat)	SO:0000266
contig_1	cds	1574535	1575035	+	LNNEOK_07890	tssB	type VI secretion system contractile sheath small subunit	GO:0003674, GO:0033103, RefSeq:WP_001314090.1, SO:0001217, UniParc:UPI0001E8A440, UniRef:UniRef100_X5F6Q1, UniRef:UniRef50_X5FUI7, UniRef:UniRef90_X5FUI7
contig_1	cds	1575094	1576632	+	LNNEOK_07895	tssC	type VI secretion system contractile sheath large subunit	GO:0003674, GO:0033103, GO:0033104, RefSeq:WP_001314091.1, SO:0001217, UniParc:UPI0001E8A441, UniRef:UniRef100_X5FDJ1, UniRef:UniRef50_A0A3S1BEC1, UniRef:UniRef90_X5FDJ1
contig_1	cds	1576650	1577987	+	LNNEOK_07900	tssK	type VI secretion system baseplate subunit TssK	GO:0003674, GO:0033103, RefSeq:WP_001539484.1, SO:0001217, UniParc:UPI0002A28202, UniRef:UniRef100_A0A377K377, UniRef:UniRef50_S6ABW3, UniRef:UniRef90_X5FUZ8
contig_1	cds	1577984	1578649	+	LNNEOK_07905	tssL	type VI secretion system protein TssL, short form	RefSeq:WP_001539485.1, SO:0001217, UniParc:UPI0002A371D2, UniRef:UniRef100_A0A2R9W3E6, UniRef:UniRef50_X5FDR9, UniRef:UniRef90_X5FDR9
contig_1	cds	1578662	1580314	+	LNNEOK_07910		OmpA-like domain-containing protein	RefSeq:WP_001539487.1, SO:0001217, UniParc:UPI0002A1B2DE, UniRef:UniRef100_A0A377K213, UniRef:UniRef50_A0A8B4TXX1, UniRef:UniRef90_A0A0H3ENV8
contig_1	cds	1580372	1580863	+	LNNEOK_07915	hcp	Type VI protein secretion system component Hcp (secreted cytotoxin)	COG:COG3157, COG:U, RefSeq:WP_000997068.1, SO:0001217, UniParc:UPI0000043A00, UniRef:UniRef100_E2QQR5, UniRef:UniRef50_X5FUJ5, UniRef:UniRef90_X5FUJ5
contig_1	cds	1581055	1583688	+	LNNEOK_07920	tssH	type VI secretion system ATPase TssH	GO:0016887, GO:0033103, GO:0033104, RefSeq:WP_001539489.1, SO:0001217, UniParc:UPI0002A340FF, UniRef:UniRef100_A0A8B5HPP2, UniRef:UniRef50_X5FED1, UniRef:UniRef90_X5FDU5
